cik,as_of,label,days_to_event,signal,confidence,risk_score,risk_probability,steps,terminated_because,verification_passed,tools_called,baseline_seen,rationale,residual,evidence
831259,2024-07-01,0,,healthy,1.0,2.0,0.02,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_prior_distress_events|get_trend|get_trend,0,"The company exhibits strong financial health across multiple dimensions. It has a very low Ohlson O-score, a healthy quick ratio (2.42), and positive return on assets (7.14%). There are no going concern warnings, no material weaknesses, and no credit-related filing events in the lookback period. While there is a slight downward trend in ROA and the quick ratio over the last three years, the absolute values remain robust. The absence of interest expense suggests minimal debt burden.",,ohlson_o_score=-9.17 | quick_ratio=2.42 | return_on_assets=0.071 | liabilities_to_assets=0.48
837852,2024-07-01,1,158,severe_risk,1.0,95.0,0.95,6,model_finished,1,available_periods|get_metric|get_metric|get_metric|check_going_concern|get_filing_events,0,"The company exhibits all the primary hallmarks of imminent credit distress. Financially, it has a critical liquidity shortage (quick ratio 0.11) and is unable to service its debt from operations (interest coverage -50.49). The auditor has explicitly issued a going concern warning, stating substantial doubt about the company's financial viability. Furthermore, the company's operational instability is evidenced by a chronic pattern of late SEC filings and multiple delisting notices. The combination of these factors makes a bankruptcy filing within the next 12 months highly probable.",,ohlson_o_score=3.275 | quick_ratio=0.108 | interest_coverage=-50.488
867773,2024-07-01,1,35,severe_risk,1.0,98.0,0.98,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|check_going_concern|get_filing_events,0,"The company is in severe distress. It has an explicit auditor's going concern warning and material weakness in internal controls. Financially, it cannot cover its interest expenses from operating income (interest coverage of -0.43). The filing history is catastrophic, with 14 credit-related events in the lookback period, including multiple covenant breaches (8-K 2.04), multiple delisting notices (8-K 3.01), and non-reliance on previous financial statements (8-K 4.02). This combination of financial failure and governance collapse makes bankruptcy highly probable.",,interest_coverage=-0.432691861813123 | ohlson_o_score=-6.26022696401111 | liabilities_to_assets=0.684714899871061
878927,2024-07-01,0,,healthy,1.0,1.0,0.01,8,model_finished,1,available_periods|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_metric|get_metric,0,"The company exhibits exceptional financial health across all key metrics. It has strong liquidity (Quick Ratio 2.1), extremely low leverage (Liabilities/Assets 0.23), and massive interest coverage (3535.93). Profitability is strong (ROA 22.5%), and the Ohlson O-Score is deeply negative, indicating negligible bankruptcy risk. There are no going concern warnings or adverse filing events.",,ohlson_o_score=-11.99 | quick_ratio=2.1 | interest_coverage=3535.93 | return_on_assets=0.225 | liabilities_to_assets=0.228
890447,2024-07-01,1,85,elevated_risk,0.8,48.0,0.48,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend|get_peer_comparison|check_threshold|check_threshold,0,"The company exhibits significant financial distress characterized by negative interest coverage, negative return on assets, and poor liquidity (quick ratio ~0.52). The high liabilities-to-assets ratio (76.6%) further indicates a precarious capital structure. While the interest coverage trend has improved from deep negatives in previous years and the most recent filings contain no auditor going-concern warnings or material weaknesses, the fundamental inability to cover interest from operations and the low liquidity profile place the company at an elevated risk of distress.",,interest_coverage=-0.2393 | quick_ratio=0.5167 | liabilities_to_assets=0.7655 | return_on_assets=-0.0836
895419,2024-07-01,1,364,watch,0.9,22.0,0.22,12,model_finished,1,available_periods|check_going_concern|get_filing_events|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_line_item,0,"The company exhibits a contradictory financial profile: it is suffering from significant operating losses (-$380.6M) and negative interest coverage, which typically signal distress. However, it maintains an exceptionally strong liquidity position with a quick ratio of 5.29, providing a massive cash/liquid asset buffer to absorb these losses. Furthermore, there are no auditor going-concern doubts and no recent credit-related filing events. The high liquidity makes a bankruptcy filing within the next 12 months unlikely, but the fundamental losses warrant a 'watch' status.",,quick_ratio=5.29 | operating_income=-380600000.0 | interest_coverage=-8.93
918646,2024-07-01,0,,healthy,1.0,2.0,0.02,8,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend,0,"The company exhibits strong financial health across all key metrics. It has a very low Ohlson O-score, high interest coverage, and a healthy quick ratio. Profitability (ROA) has improved significantly over the last five years. Furthermore, there are no auditor going-concern doubts, no material weaknesses, and no credit-related filing events in the lookback period.",,ohlson_o_score=-8.02 | interest_coverage=16.97 | quick_ratio=1.06 | return_on_assets=0.162
1008654,2024-07-01,1,78,severe_risk,1.0,98.0,0.98,6,model_finished,1,available_periods|check_going_concern|get_metric|get_metric|get_metric|get_filing_events,0,"The company is in a state of severe financial and operational distress. Financial metrics show technical insolvency with liabilities exceeding assets (liabilities_to_assets: 1.58) and a critical liquidity shortage (quick_ratio: 0.21). The auditor has explicitly expressed substantial doubt about the company's ability to continue as a going concern, and the company has reported material weaknesses in internal controls. Furthermore, the filing history is catastrophic, with 13 credit-related events in the lookback period, including multiple delisting notices, changes in certifying accountants, non-reliance on previous financial statements, and chronic late filings. This combination of insolvency, auditor warnings, and reporting failures indicates an extremely high probability of bankruptcy.",,quick_ratio=0.213594171074958 | liabilities_to_assets=1.57799892415277
1081316,2024-07-01,0,,watch,0.9,22.0,0.22,12,model_finished,1,available_periods|check_going_concern|get_filing_events|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_peer_comparison|get_prior_distress_events,0,"The company shows no immediate signs of insolvency: there are no going concern warnings, no material weaknesses, and no recent credit-related filing events. The Ohlson O-score is strongly negative, indicating low risk. However, the credit profile is weakening. Interest coverage has declined significantly over the last three years to 1.15, meaning operating income barely covers interest expenses. Combined with a quick ratio of 0.65, the company has a diminishing cushion to absorb operational shocks. This warrants a 'watch' status due to the deteriorating trend in debt service capacity.",,interest_coverage=1.15113871635611 | quick_ratio=0.64741822516951 | ohlson_o_score=-7.9993776612775 | liabilities_to_assets=0.639146836912362
1101680,2024-07-01,1,256,insufficient_evidence,0.0,,0.5,9,retries_exhausted,0,available_periods|check_going_concern|get_filing_events|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events,0,failed deterministic checks after 3 attempts: evidence cites 'n_events' but no tool call produced it; every figure must come from a tool,failed deterministic checks after 3 attempts: evidence cites 'n_events' but no tool call produced it; every figure must come from a tool,
1103982,2024-07-01,0,,healthy,1.0,2.0,0.02,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|check_going_concern|get_filing_events|get_prior_distress_events,0,"The company exhibits strong financial health across multiple dimensions. The Ohlson O-Score is significantly below the distress threshold. Interest coverage is robust, and the company is profitable (positive ROA). While the quick ratio is low, it has remained stable for five years, indicating it is a characteristic of the business model rather than a sign of emerging distress. Furthermore, there are no auditor going-concern warnings, no material weaknesses, and no credit-related filing events in the recent history.",,ohlson_o_score=-8.105327655576936 | interest_coverage=10.003636363636364 | return_on_assets=0.06946253729461697 | quick_ratio=0.42539315205385786
1108109,2024-07-01,0,,healthy,0.9,12.0,0.12,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|check_going_concern|get_filing_events|get_metric|get_trend|get_peer_comparison,0,"The company exhibits a chronic state of negative equity (liabilities to assets > 1.0 for over 5 years), which is a significant balance sheet weakness. However, this is offset by strong current liquidity (quick ratio of 1.50) and a very low Ohlson O-Score (-5.725), suggesting that the company is not in immediate danger of insolvency. There are no auditor going-concern warnings, no material weaknesses, and no recent credit-related filing events (8-Ks). While the return on assets has deteriorated over the last three years to a slightly negative value, the overall profile suggests a stable, albeit leveraged, operation. The risk of a bankruptcy petition within the next 12 months is low.",,ohlson_o_score=-5.725 | quick_ratio=1.497 | liabilities_to_assets=1.057 | return_on_assets=-0.009
1162461,2024-07-01,1,247,severe_risk,0.9,85.0,0.85,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend,0,"The company exhibits severe financial distress. It has negative equity (liabilities to assets > 1), is losing money rapidly (ROA -47%), and cannot cover its interest expenses from operating income. Most critically, there is a pattern of severe reporting failures: multiple late filings, a delisting notice, and a formal non-reliance on previous financial statements. While the quick ratio remains above 2.0, suggesting some short-term liquidity, the combination of insolvency, operational losses, and governance collapse strongly indicates a high probability of bankruptcy within 12 months.",,liabilities_to_assets=1.4962 | interest_coverage=-13.2623 | return_on_assets=-0.4701 | quick_ratio=2.3543
1219601,2024-07-01,0,,healthy,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend|get_metric|get_peer_comparison|check_threshold,0,"The company exhibits strong credit health with positive profitability (ROA), sufficient interest coverage (2.91x), and a stable to improving quick ratio. There are no auditor going-concern doubts, no material weaknesses, and no credit-related filing events (8-Ks) in the lookback period. While interest coverage has declined over the last two years, it remains well above the critical 1.0x threshold.",,quick_ratio=0.766 | interest_coverage=2.91 | return_on_assets=0.0299
1223389,2024-07-01,1,24,elevated_risk,0.9,74.0,0.74,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend|get_prior_distress_events,0,"The company shows clear signs of financial and operational distress. The most alarming signals are the repeated late filings (NT 10-K, NT 10-Q) and a formal delisting notice received in June 2024. Fundamentally, the company is losing money (negative ROA) and cannot cover its interest expenses from operating income (negative interest coverage). While the quick ratio provides a temporary liquidity cushion, the overall trajectory and the breakdown in regulatory compliance significantly increase the probability of a bankruptcy filing within the next 12 months.",,interest_coverage=-1.533 | return_on_assets=-0.031 | quick_ratio=1.865 | liabilities_to_assets=0.796
1357615,2024-07-01,0,,healthy,0.9,12.0,0.12,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|check_going_concern|get_filing_events|get_peer_comparison,0,"The company shows strong short-term liquidity (Quick Ratio 1.05) and a healthy ability to service its debt (Interest Coverage 3.9). While the latest Return on Assets is negative (-4.76%), indicating recent losses, there are no auditor going-concern warnings, no material weaknesses, and no credit-related 8-K filings (covenant breaches, etc.) in the last 540 days. The Ohlson O-score is also well within the safe range. The risk of bankruptcy in the next 12 months is low.",,ohlson_o_score=-5.39 | interest_coverage=3.9 | quick_ratio=1.05 | return_on_assets=-0.047
1391127,2024-07-01,1,70,severe_risk,1.0,98.0,0.98,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|check_threshold|check_threshold,0,"The company is in severe distress. While the O-score is currently low, the interest coverage ratio is severely negative, indicating an inability to service debt from operations. More critically, the company has an explicit auditor's going concern doubt and material weaknesses in internal controls. The filing history is catastrophic, featuring multiple delisting notices (8-K 3.01), a non-reliance notice on previous financial statements (8-K 4.02), repeated late filings (NT 10-K/Q), and multiple changes in certifying accountants (8-K 4.01). This combination of financial insolvency and total breakdown in reporting and compliance makes bankruptcy highly likely.",,interest_coverage=-24.25927141450607 | liabilities_to_assets=0.5587540101036174 | ohlson_o_score=-5.0393939874366325
1396033,2024-07-01,1,41,severe_risk,0.9,88.0,0.88,11,model_finished,1,available_periods|check_going_concern|get_metric|get_metric|get_metric|get_metric|get_filing_events|get_trend|get_trend|get_peer_comparison,0,"The company is in severe financial distress. The most critical signal is the auditor's 'going concern' doubt expressed in the 10-Q filed 2024-05-08. This is corroborated by a critical liquidity shortage (quick ratio of 0.12) and a collapse in profitability (ROA falling to -19.3%). Both liquidity and profitability have deteriorated consistently over the last three years. While there are no recent 8-K credit events, the combination of the going concern warning and the fundamental financial decay makes a bankruptcy filing highly likely within the next 12 months.",,quick_ratio=0.12233070899787418 | return_on_assets=-0.19323940295832134 | liabilities_to_assets=0.7062777506002905 | ohlson_o_score=-4.409711880777392
1411688,2024-07-01,1,174,severe_risk,0.9,78.0,0.78,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend|get_peer_comparison|get_prior_distress_events,0,"The company is in severe financial distress. Key indicators include a very low quick ratio (0.37), negative interest coverage (-5.07), and negative return on assets (-0.11). The high liabilities-to-assets ratio (0.83) indicates significant leverage. Most critically, the company received a delisting notice (8-K 3.01) in May 2024 and reported material weaknesses in internal controls. While the auditor has not yet issued a going-concern qualification, the combination of negative earnings, inability to service debt, and the delisting event suggests a high probability of bankruptcy or severe restructuring within the next 12 months.",,quick_ratio=0.37 | interest_coverage=-5.07 | liabilities_to_assets=0.83 | return_on_assets=-0.11
1423689,2024-07-01,0,,watch,0.6,22.0,0.22,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|check_going_concern|get_filing_events|get_prior_distress_events|get_peer_comparison|check_threshold,0,"The company is highly leveraged with liabilities representing nearly 88.5% of assets, which is approaching a critical threshold. However, there are no auditor going-concern warnings, no material weaknesses, and no recent credit-related filing events (8-Ks). Profitability is very thin but positive. The primary risk is the high leverage, but the lack of immediate distress signals suggests a low probability of bankruptcy in the next 12 months. The assessment is tempered by the unavailability of liquidity metrics (quick ratio) and interest coverage due to missing filing tags.",Missing liquidity (quick_ratio) and interest coverage metrics due to unavailable line items in filings.,liabilities_to_assets=0.88467232806302 | return_on_assets=0.00216492541482764
1459417,2024-07-01,1,23,severe_risk,0.95,92.0,0.92,8,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events,0,"The company is in severe financial distress. The auditor has explicitly issued a going concern warning in the latest 10-Q, and the company received a delisting notice (8-K code 3.01) on 2024-03-15. Financial metrics are critical: interest coverage is deeply negative (-3.03), ROA is -21.76%, and the liabilities-to-assets ratio is 0.85. While the quick ratio is near 1.0, the combination of negative earnings, high leverage, and the auditor's doubt makes a bankruptcy filing highly likely within 12 months.",,interest_coverage=-3.0279457712576936 | return_on_assets=-0.2175862841452562 | liabilities_to_assets=0.8499365958225177 | ohlson_o_score=-3.8953613638134823
1467373,2024-07-01,0,,healthy,0.9,2.0,0.02,12,model_finished,1,available_periods|check_going_concern|get_filing_events|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_metric|get_metric|get_trend|get_trend,0,"The company exhibits very strong financial health across all available metrics. Liquidity is solid with a quick ratio of 1.30, and profitability is robust with an ROA of 13.4%. Most notably, the interest coverage ratio is extremely high (185.37), indicating virtually no risk of default on interest payments. There are no going concern doubts, material weaknesses, or credit-related filing events in the lookback period. While total liabilities were not tagged (preventing an O-Score or liabilities-to-assets ratio), the other indicators are overwhelmingly positive.",,quick_ratio=1.298 | interest_coverage=185.37 | return_on_assets=0.134
1498710,2024-07-01,1,140,elevated_risk,0.8,48.0,0.48,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend|get_metric|get_line_item,0,"The company exhibits chronic financial distress characterized by persistent negative operating income (negative interest coverage) and negative returns on assets since 2020. Liquidity is strained with a current ratio below 1.0. While the auditor has not issued a going-concern qualification and there are no recent 8-K credit events, the fundamental inability to service debt from operations creates an elevated risk of bankruptcy if financing cannot be maintained.",,interest_coverage=-2.93 | return_on_assets=-0.0475 | current_ratio=0.9046
1537028,2024-07-01,1,155,healthy,0.9,5.0,0.05,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_prior_distress_events|get_trend|get_trend,0,"The company exhibits strong indicators of financial stability. The Ohlson O-Score is significantly below the distress threshold and improving. The quick ratio is above 1.0, indicating sufficient short-term liquidity. While the company is currently unprofitable (negative ROA), the trend is improving. There are no auditor going-concern warnings or material weaknesses. A change in certifying accountant was noted in an 8-K, but this is not accompanied by other distress signals. Overall, the risk of bankruptcy within the next 12 months is very low.",,ohlson_o_score=-6.2129 | quick_ratio=1.0736 | liabilities_to_assets=0.5399 | return_on_assets=-0.0955
1580864,2024-07-01,1,135,severe_risk,0.9,82.0,0.82,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend,0,"The company exhibits severe financial distress across multiple dimensions. Solvency is critical with liabilities-to-assets at 0.91 and a clear deteriorating trend. Liquidity has crashed from a healthy 2.15 quick ratio to 0.92 in one year. Profitability is deeply negative (ROA -24.7%), and the company cannot cover its interest payments from operations (Interest Coverage 0.0). Furthermore, the company has received two delisting notices and changed its certifying accountant within the last 15 months, which are strong qualitative signals of distress. While the auditor has not yet issued a going concern qualification, the quantitative data and filing events suggest a high probability of bankruptcy.",,liabilities_to_assets=0.9134681467403902 | interest_coverage=0.0 | return_on_assets=-0.24712319593987347 | quick_ratio=0.9213159104861544
1584754,2024-07-01,1,168,severe_risk,1.0,95.0,0.95,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_prior_distress_events|get_metric,0,"The company is in severe distress. The most recent 10-Q filing (May 2024) contains an explicit auditor's going concern warning and a statement that the company is considering filing for bankruptcy protection. This is supported by a massive negative return on assets (-42.7%) and a delisting notice received in October 2023. While the quick ratio remains high, the direct admission of potential insolvency and the severe losses make bankruptcy highly likely.",,return_on_assets=-0.4267947917296212 | liabilities_to_assets=0.4208921748356467 | quick_ratio=2.9763246258038816
1633917,2024-07-01,0,,healthy,1.0,2.0,0.02,8,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_prior_distress_events,0,"The company exhibits strong financial health across all key metrics. The Ohlson O-Score is deeply negative, indicating very low probability of distress. Liquidity is sufficient (Quick Ratio > 1), and debt serviceability is robust (Interest Coverage > 14). Furthermore, there are no auditor going-concern warnings, no material weaknesses, and no recent credit-related filing events or prior distress history.",,ohlson_o_score=-7.66 | quick_ratio=1.29 | interest_coverage=14.49 | liabilities_to_assets=0.74
1656634,2024-07-01,1,101,severe_risk,0.9,85.0,0.85,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|check_going_concern|get_filing_events,0,"The company is in severe distress. It has an explicit auditor's going concern warning in its 10-Q filed 2024-05-09 and has received a delisting notice (8-K filed 2024-06-25). Financially, it is suffering from massive losses (ROA -77.9%) and cannot cover its interest expenses (Interest Coverage -34.59). While it still maintains a high quick ratio (3.20), this is a rapidly declining reserve (down from 6.73 in 2019), indicating the company is burning through its remaining liquidity to survive. The combination of these factors makes a bankruptcy filing within 12 months highly likely.",,return_on_assets=-0.77904471533282 | interest_coverage=-34.5939048562934 | quick_ratio=3.19817842642379
1723580,2024-07-01,1,78,severe_risk,0.9,88.0,0.88,8,model_finished,1,available_periods|check_going_concern|get_metric|check_threshold|get_metric|get_metric|get_metric|get_filing_events,0,"The company is in severe distress. The auditor has explicitly stated substantial doubt about its ability to continue as a going concern as of April 1, 2024, citing a liquidity covenant breach. This is supported by a critical lack of liquidity (quick ratio 0.14), an inability to cover interest payments from operations (negative interest coverage), and significant regulatory instability evidenced by two delisting notices and a late 10-K filing.",,quick_ratio=0.136772601944565 | interest_coverage=-2.49637516991391 | liabilities_to_assets=0.7785094167350161
1731289,2024-07-01,1,233,severe_risk,0.9,82.0,0.82,9,model_finished,1,available_periods|check_going_concern|get_metric|get_metric|get_metric|get_metric|get_metric|get_filing_events,0,"The company is in severe distress. The most critical signal is the auditor's explicit 'going concern' doubt in the latest 10-Q, combined with a material weakness in internal controls. Financially, the company is suffering massive losses (ROA of -75.8%) and has a negative Ohlson O-score. While the quick ratio is currently above 1.0, the qualitative red flags—including two delisting notices and a change in certifying accountant—strongly indicate systemic instability and a high probability of insolvency or bankruptcy within the next 12 months.",,return_on_assets=-0.757953244952179 | quick_ratio=1.960069971742181 | liabilities_to_assets=0.4358786907080559 | ohlson_o_score=-3.771203273019203
1772695,2024-07-01,1,342,watch,0.8,24.0,0.24,12,model_finished,1,available_periods|check_going_concern|get_filing_events|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_peer_comparison|check_threshold,0,"The company shows clear signs of financial weakening, specifically a sharp decline in liquidity (quick ratio dropped from 1.57 to 0.72 over two years) and persistent negative profitability (ROA -3.7%). High leverage (liabilities to assets of 0.81) further compounds this risk. However, there are no critical 'smoking guns': the auditor has not issued a going-concern doubt, there are no recent credit-related 8-K filings, and the Ohlson O-score remains negative, suggesting that while the trend is negative, the company is not yet in a state of imminent collapse. The lack of reported interest expense makes interest coverage uncomputable, which may suggest a lack of traditional debt but leaves a gap in the analysis.",,quick_ratio=0.7191443012456952 | liabilities_to_assets=0.8122813293500177 | return_on_assets=-0.03685407536973686 | ohlson_o_score=-5.086127600585926
